# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.500, Jz = 0.1000
step,H,H^2
12900,-3068.360000,9418480.000000,
12975,-3055.880000,9340563.136000,
13050,-3053.080000,9325244.048000,
13125,-3057.200000,9350151.104000,
13200,-3065.480000,9403206.512000,
13275,-3068.360000,9418080.960000,
13350,-3037.640000,9232836.864000,
13425,-3031.640000,9194888.416000,
13500,-3049.600000,9303290.000000,
13575,-3044.280000,9269196.192000,
13650,-3037.760000,9231276.528000,
13725,-3039.600000,9242851.280000,
13800,-3073.760000,9451981.520000,
13875,-3038.640000,9237077.888000,
13950,-3043.920000,9269564.976000,
14025,-3050.800000,9310029.872000,
14100,-3068.440000,9419066.912000,
14175,-3056.200000,9342839.216000,
14250,-3050.560000,9307329.792000,
14325,-3058.400000,9357122.832000,
14400,-3063.400000,9387245.136000,
14475,-3067.120000,9409712.000000,
14550,-3059.600000,9363017.520000,
14625,-3056.400000,9343502.400000,
14700,-3075.640000,9460941.488000,
14775,-3068.720000,9418123.680000,
14850,-3079.640000,9485322.704000,
14925,-3080.120000,9488916.160000,
