# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.250, Jz = 0.1000
step,H,H^2
12750,-2409.720000,5812172.600000,
12825,-2421.440000,5868289.272000,
12900,-2413.800000,5831492.440000,
12975,-2434.840000,5940703.976000,
13050,-2423.240000,5880833.144000,
13125,-2419.760000,5861564.968000,
13200,-2425.560000,5887577.400000,
13275,-2408.960000,5811795.656000,
13350,-2436.960000,5948735.784000,
13425,-2416.560000,5849049.992000,
13500,-2433.520000,5930075.496000,
13575,-2398.200000,5758411.368000,
13650,-2421.840000,5870727.032000,
13725,-2408.040000,5802157.720000,
13800,-2390.240000,5714171.544000,
13875,-2442.280000,5971804.664000,
13950,-2427.200000,5898640.664000,
14025,-2415.040000,5842177.896000,
14100,-2435.440000,5936991.624000,
14175,-2432.320000,5922693.912000,
14250,-2448.160000,6001117.640000,
14325,-2441.280000,5966702.344000,
14400,-2445.360000,5984528.056000,
14475,-2430.480000,5911213.240000,
14550,-2449.120000,6003363.608000,
14625,-2433.760000,5927725.048000,
14700,-2411.800000,5834602.872000,
14775,-2407.680000,5811171.496000,
14850,-2432.440000,5929152.168000,
14925,-2392.680000,5732537.336000,
