# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.125, Jz = 0.1000
step,H,H^2
4875,-2411.700000,5824141.396000,
4950,-2399.180000,5763926.420000,
5025,-2394.700000,5750138.900000,
5100,-2378.300000,5676496.868000,
5175,-2381.420000,5684283.092000,
5250,-2412.380000,5826664.356000,
5325,-2435.260000,5953166.196000,
5400,-2455.340000,6043095.124000,
5475,-2444.620000,5985389.364000,
5550,-2464.700000,6082842.404000,
5625,-2440.900000,5967976.180000,
5700,-2453.900000,6027820.292000,
5775,-2474.860000,6132818.260000,
5850,-2464.740000,6086048.804000,
5925,-2465.060000,6086202.132000,
6000,-2413.580000,5842051.668000,
6075,-2444.700000,5989310.836000,
6150,-2450.540000,6020892.100000,
6225,-2489.380000,6208586.212000,
6300,-2473.180000,6129600.548000,
6375,-2436.820000,5946177.636000,
6450,-2473.340000,6123894.996000,
6525,-2463.020000,6078930.484000,
6600,-2456.500000,6047107.364000,
6675,-2459.860000,6065329.860000,
6750,-2458.220000,6052126.132000,
6825,-2441.140000,5965951.604000,
6900,-2456.500000,6040788.420000,
6975,-2464.860000,6082844.500000,
7050,-2461.900000,6073367.716000,
7125,-2466.020000,6093087.252000,
7200,-2479.620000,6161431.796000,
7275,-2485.780000,6183805.044000,
7350,-2488.380000,6198887.588000,
7425,-2480.260000,6164245.604000,
7500,-2510.340000,6309971.988000,
7575,-2475.900000,6134214.036000,
7650,-2463.860000,6072853.396000,
7725,-2488.860000,6202182.996000,
7800,-2504.260000,6276973.188000,
7875,-2478.820000,6157940.772000,
7950,-2483.340000,6171251.236000,
8025,-2477.340000,6147185.844000,
8100,-2445.500000,5994933.108000,
8175,-2492.220000,6216852.196000,
8250,-2464.020000,6076086.900000,
8325,-2472.140000,6113082.628000,
8400,-2469.220000,6102982.868000,
8475,-2459.220000,6052715.476000,
8550,-2464.820000,6080899.076000,
8625,-2470.180000,6106099.700000,
8700,-2488.020000,6195420.820000,
8775,-2449.220000,6009043.364000,
8850,-2473.820000,6127538.084000,
8925,-2482.660000,6170576.324000,
9000,-2519.260000,6349455.028000,
9075,-2529.540000,6405342.340000,
9150,-2530.740000,6411536.788000,
9225,-2535.860000,6439605.348000,
9300,-2511.820000,6312728.340000,
9375,-2508.060000,6298860.580000,
9450,-2528.300000,6399008.196000,
9525,-2530.660000,6413400.340000,
9600,-2510.540000,6310958.228000,
9675,-2536.340000,6439293.108000,
9750,-2534.420000,6430343.172000,
9825,-2532.460000,6417677.172000,
9900,-2559.540000,6558619.060000,
9975,-2521.060000,6364627.636000,
10050,-2514.780000,6332639.444000,
10125,-2528.300000,6394499.588000,
10200,-2507.580000,6292702.196000,
10275,-2524.060000,6380736.644000,
10350,-2509.900000,6307607.412000,
10425,-2572.980000,6626938.484000,
10500,-2539.660000,6463341.140000,
10575,-2565.340000,6585702.708000,
10650,-2541.100000,6466323.124000,
10725,-2555.660000,6541317.524000,
10800,-2545.620000,6493025.204000,
10875,-2568.940000,6614122.996000,
10950,-2553.260000,6534426.292000,
11025,-2535.020000,6443570.820000,
11100,-2531.220000,6415474.308000,
11175,-2520.820000,6370154.692000,
11250,-2553.740000,6526005.620000,
11325,-2546.300000,6491980.676000,
11400,-2574.060000,6631817.140000,
11475,-2564.820000,6587002.148000,
11550,-2555.860000,6544357.700000,
11625,-2549.420000,6504948.084000,
11700,-2548.340000,6498506.260000,
11775,-2574.300000,6636966.772000,
11850,-2580.900000,6667752.196000,
11925,-2565.620000,6593006.580000,
12000,-2578.860000,6659561.508000,
12075,-2566.620000,6594895.332000,
12150,-2562.980000,6574816.756000,
12225,-2608.460000,6807448.772000,
12300,-2605.500000,6796466.132000,
12375,-2592.540000,6726900.724000,
12450,-2587.700000,6701800.724000,
12525,-2587.780000,6706369.940000,
12600,-2617.380000,6860128.340000,
12675,-2610.780000,6822082.644000,
12750,-2612.260000,6832284.884000,
12825,-2643.620000,6993706.468000,
12900,-2625.060000,6896065.668000,
12975,-2639.340000,6969663.828000,
13050,-2610.940000,6822684.452000,
13125,-2576.980000,6643595.940000,
13200,-2598.300000,6755649.908000,
13275,-2621.780000,6879233.732000,
13350,-2613.500000,6837085.844000,
13425,-2598.500000,6755537.732000,
13500,-2610.620000,6818927.732000,
13575,-2616.340000,6849867.092000,
13650,-2648.220000,7016793.124000,
13725,-2641.700000,6983709.700000,
13800,-2649.900000,7028094.596000,
13875,-2613.420000,6834370.404000,
13950,-2646.260000,7007776.932000,
14025,-2634.460000,6945211.492000,
14100,-2657.660000,7068981.812000,
14175,-2634.460000,6945344.100000,
14250,-2637.620000,6966354.532000,
14325,-2651.820000,7041395.764000,
14400,-2640.140000,6976615.780000,
14475,-2624.100000,6892468.836000,
14550,-2650.940000,7037917.300000,
14625,-2636.300000,6954148.340000,
14700,-2650.180000,7028333.620000,
14775,-2654.220000,7050022.180000,
14850,-2624.660000,6893903.412000,
14925,-2679.740000,7194346.052000,
